Attribute,level,Nan_values,
D19_VERSAND_OFFLINE_DATUM,ordinal,no null,versa
D19_VERSAND_ONLINE_DATUM,ordinal,no null,versa
D19_VERSAND_REST,ordinal,no null,
D19_VERSICHERUNGEN,ordinal,no null,
D19_VERSI_ANZ_12,ordinal,no null,
D19_VERSI_ANZ_24,ordinal,no null,
D19_VOLLSORTIMENT,ordinal,no null,
D19_WEIN_FEINKOST,ordinal,no null,
EWDICHTE,ordinal,no null,
FINANZTYP,ordinal,no null,
FINANZ_ANLEGER,ordinal,no null,versa
FINANZ_HAUSBAUER,ordinal,no null,versa
FINANZ_MINIMALIST,ordinal,no null,versa
FINANZ_SPARER,ordinal,no null,versa
FINANZ_UNAUFFAELLIGER,ordinal,no null,versa
FINANZ_VORSORGER,ordinal,no null,versa
GEBAEUDETYP,nominal,zero,
GEBAEUDETYP_RASTER,nominal,zero,
GEBURTSJAHR,numeric,no null,
GFK_URLAUBERTYP,nominal,zero,
GREEN_AVANTGARDE,nominal,no null,
HEALTH_TYP,nominal,zero,
HH_EINKOMMEN_SCORE,ordinal,average,versa
INNENSTADT,ordinal,mean,
KBA05_ALTER1,ordinal,nan,
KBA05_ALTER2,ordinal,nan,
KBA05_ALTER3,ordinal,nan,
KBA05_ALTER4,ordinal,nan,
KBA05_ANHANG,ordinal,nan,
KBA05_ANTG1,ordinal,nan,
KBA05_ANTG2,ordinal,nan,
KBA05_ANTG3,ordinal,nan,
KBA05_ANTG4,ordinal,nan,
KBA05_AUTOQUOT,ordinal,nan,
KBA05_CCM1,ordinal,nan,
KBA05_CCM2,ordinal,nan,
KBA05_CCM3,ordinal,nan,
KBA05_CCM4,ordinal,nan,
KBA05_DIESEL,ordinal,nan,
KBA05_FRAU,ordinal,nan,
KBA05_GBZ,ordinal,nan,
KBA05_HERST1,ordinal,nan,
KBA05_HERST2,ordinal,nan,
KBA05_HERST3,ordinal,nan,
KBA05_HERST4,ordinal,nan,
KBA05_HERST5,ordinal,nan,
KBA05_HERSTTEMP,nominal,zero,
KBA05_KRSAQUOT,ordinal,nan,
KBA05_KRSHERST1,ordinal,nan,
KBA05_KRSHERST2,ordinal,nan,
KBA05_KRSHERST3,ordinal,nan,
KBA05_KRSKLEIN,ordinal,nan,
KBA05_KRSOBER,ordinal,nan,
KBA05_KRSVAN,ordinal,nan,
KBA05_KRSZUL,ordinal,nan,
KBA05_KW1,ordinal,nan,
KBA05_KW2,ordinal,nan,
KBA05_KW3,ordinal,nan,
KBA05_MAXAH,ordinal,nan,
KBA05_MAXBJ,ordinal,nan,
KBA05_MAXHERST,nominal,nan,
KBA05_MAXSEG,ordinal,nan,
KBA05_MAXVORB,ordinal,nan,
KBA05_MOD1,ordinal,nan,
KBA05_MOD2,ordinal,nan,
KBA05_MOD3,ordinal,nan,
KBA05_MOD4,ordinal,nan,
KBA05_MOD8,ordinal,nan,
KBA05_MODTEMP,nominal,zero,
KBA05_MOTOR,ordinal,zero,
KBA05_MOTRAD,ordinal,nan,
KBA05_SEG1,ordinal,nan,
KBA05_SEG10,ordinal,nan,
KBA05_SEG2,ordinal,nan,
KBA05_SEG3,ordinal,nan,
KBA05_SEG4,ordinal,nan,
KBA05_SEG5,ordinal,nan,
KBA05_SEG6,nominal,nan,
KBA05_SEG7,ordinal,nan,
KBA05_SEG8,ordinal,nan,
KBA05_SEG9,ordinal,nan,
KBA05_VORB0,ordinal,nan,
KBA05_VORB1,ordinal,nan,
KBA05_VORB2,ordinal,nan,
KBA05_ZUL1,ordinal,nan,
KBA05_ZUL2,ordinal,nan,
KBA05_ZUL3,ordinal,nan,
KBA05_ZUL4,ordinal,nan,
KBA13_ALTERHALTER_30,ordinal,nan,
KBA13_ALTERHALTER_45,ordinal,nan,
KBA13_ALTERHALTER_60,ordinal,nan,
KBA13_ALTERHALTER_61,ordinal,nan,
KBA13_ANZAHL_PKW,numeric,mean,
KBA13_AUDI,ordinal,nan,
KBA13_AUTOQUOTE,ordinal,nan,
KBA13_BJ_1999,ordinal,nan,
KBA13_BJ_2000,ordinal,nan,
KBA13_BJ_2004,ordinal,nan,
KBA13_BJ_2006,ordinal,nan,
KBA13_BJ_2008,ordinal,nan,
KBA13_BJ_2009,ordinal,nan,
KBA13_BMW,ordinal,nan,
KBA13_CCM_1000,ordinal,nan,
KBA13_CCM_1200,ordinal,nan,
KBA13_CCM_1400,ordinal,nan,
KBA13_CCM_0_1400,ordinal,nan,
KBA13_CCM_1500,ordinal,nan,
KBA13_CCM_1401_2500,ordinal,nan,
KBA13_CCM_1600,ordinal,nan,
KBA13_CCM_1800,ordinal,nan,
KBA13_CCM_2000,ordinal,nan,
KBA13_CCM_2500,ordinal,nan,
KBA13_CCM_2501,ordinal,nan,
KBA13_CCM_3000,ordinal,nan,
KBA13_CCM_3001,ordinal,nan,
KBA13_FAB_ASIEN,ordinal,nan,
KBA13_FAB_SONSTIGE,ordinal,nan,
KBA13_FIAT,ordinal,nan,
KBA13_FORD,ordinal,nan,
KBA13_HALTER_20,ordinal,nan,
KBA13_HALTER_25,ordinal,nan,
KBA13_HALTER_30,ordinal,nan,
KBA13_HALTER_35,ordinal,nan,
KBA13_HALTER_40,ordinal,nan,
KBA13_HALTER_45,ordinal,nan,
KBA13_HALTER_50,ordinal,nan,
KBA13_HALTER_55,ordinal,nan,
KBA13_HALTER_60,ordinal,nan,
KBA13_HALTER_65,ordinal,nan,
KBA13_HALTER_66,ordinal,nan,
KBA13_HERST_ASIEN,ordinal,nan,
KBA13_HERST_AUDI_VW,ordinal,nan,
KBA13_HERST_BMW_BENZ,ordinal,nan,
KBA13_HERST_EUROPA,ordinal,nan,
KBA13_HERST_FORD_OPEL,ordinal,nan,
KBA13_HERST_SONST,ordinal,nan,
KBA13_KMH_110,ordinal,nan,
KBA13_KMH_140,ordinal,nan,
KBA13_KMH_180,ordinal,nan,
KBA13_KMH_0_140,ordinal,nan,
KBA13_KMH_140_210,ordinal,nan,
KBA13_KMH_211,ordinal,nan,
KBA13_KMH_250,ordinal,nan,
KBA13_KMH_251,ordinal,nan,
KBA13_KRSAQUOT,ordinal,nan,
KBA13_KRSHERST_AUDI_VW,ordinal,nan,
KBA13_KRSHERST_BMW_BENZ,ordinal,nan,
KBA13_KRSHERST_FORD_OPEL,ordinal,nan,
KBA13_KRSSEG_KLEIN,ordinal,nan,
KBA13_KRSSEG_OBER,ordinal,nan,
KBA13_KRSSEG_VAN,ordinal,nan,
KBA13_KRSZUL_NEU,ordinal,nan,
KBA13_KW_30,ordinal,nan,
KBA13_KW_40,ordinal,nan,
KBA13_KW_50,ordinal,nan,
KBA13_KW_60,ordinal,nan,
KBA13_KW_0_60,ordinal,nan,
KBA13_KW_70,ordinal,nan,
KBA13_KW_61_120,ordinal,nan,
KBA13_KW_80,ordinal,nan,
KBA13_KW_90,ordinal,nan,
KBA13_KW_110,ordinal,nan,
KBA13_KW_120,ordinal,nan,
KBA13_KW_121,ordinal,nan,
KBA13_MAZDA,ordinal,nan,
KBA13_MERCEDES,ordinal,nan,
KBA13_MOTOR,ordinal,nan,
KBA13_NISSAN,ordinal,nan,
KBA13_OPEL,ordinal,nan,
KBA13_PEUGEOT,ordinal,nan,
KBA13_RENAULT,ordinal,nan,
KBA13_SEG_GELAENDEWAGEN,ordinal,nan,
KBA13_SEG_GROSSRAUMVANS,ordinal,nan,
KBA13_SEG_KLEINST,ordinal,nan,
KBA13_SEG_KLEINWAGEN,ordinal,nan,
KBA13_SEG_KOMPAKTKLASSE,ordinal,nan,
KBA13_SEG_MINIVANS,ordinal,nan,
KBA13_SEG_MINIWAGEN,ordinal,nan,
KBA13_SEG_MITTELKLASSE,ordinal,nan,
KBA13_SEG_OBEREMITTELKLASSE,ordinal,nan,
KBA13_SEG_OBERKLASSE,ordinal,nan,
KBA13_SEG_SONSTIGE,ordinal,nan,
KBA13_SEG_SPORTWAGEN,ordinal,nan,
KBA13_SEG_UTILITIES,ordinal,nan,
KBA13_SEG_VAN,ordinal,nan,
KBA13_SEG_WOHNMOBILE,ordinal,nan,
KBA13_SITZE_4,ordinal,nan,
KBA13_SITZE_5,ordinal,nan,
KBA13_SITZE_6,ordinal,nan,
KBA13_TOYOTA,ordinal,nan,
KBA13_VORB_0,ordinal,nan,
KBA13_VORB_1,ordinal,nan,
KBA13_VORB_1_2,ordinal,nan,
KBA13_VORB_2,ordinal,nan,
KBA13_VORB_3,ordinal,nan,
KBA13_VW,ordinal,nan,
KKK,ordinal,nan,
KONSUMNAEHE,nominal,zero,
LP_FAMILIE_FEIN,nominal,zero,
LP_FAMILIE_GROB,nominal,zero,
LP_STATUS_GROB,ordinal,mean,
MIN_GEBAEUDEJAHR,numeric,mean,
MOBI_REGIO,ordinal,nan,versa
NATIONALITAET_KZ,nominal,zero,
ONLINE_AFFINITAET,ordinal,nan,
ORTSGR_KLS9,ordinal,nan,
OST_WEST_KZ,nominal,nan,
PLZ8_ANTG1,ordinal,nan,
PLZ8_ANTG2,ordinal,nan,
PLZ8_ANTG3,ordinal,nan,
PLZ8_ANTG4,ordinal,nan,
PLZ8_BAUMAX,ordinal,nan,
PLZ8_GBZ,ordinal,nan,
PLZ8_HHZ,ordinal,nan,
PRAEGENDE_JUGENDJAHRE,ordinal,zero,
REGIOTYP,ordinal,nan,versa
RELAT_AB,ordinal,nan,
RETOURTYP_BK_S,nominal,zero,
SEMIO_DOM,ordinal,nan,versa
SEMIO_ERL,ordinal,nan,versa
SEMIO_FAM,ordinal,nan,versa
SEMIO_KAEM,ordinal,nan,versa
SEMIO_KRIT,ordinal,nan,versa
SEMIO_KULT,ordinal,nan,versa
SEMIO_LUST,ordinal,nan,versa
SEMIO_MAT,ordinal,nan,versa
SEMIO_PFLICHT,ordinal,nan,versa
SEMIO_RAT,ordinal,nan,versa
SEMIO_REL,ordinal,nan,versa
SEMIO_SOZ,ordinal,nan,versa
SEMIO_TRADV,ordinal,nan,versa
SEMIO_VERT,ordinal,nan,versa
SHOPPER_TYP,nominal,zero,
SOHO_FLAG,nominal,nan,
VERS_TYP,nominal,nan,
WOHNDAUER_2008,ordinal,nan,
WOHNLAGE,nominal,zero,
WACHSTUMSGEBIET_NB,ordinal,nan,versa
W_KEIT_KIND_HH,nominal,nan,
ZABEOTYP,nominal,nan,
